topic0: наука ран научный академик большой президент развитие мир академия институт россия область коллега вклад главный
topic1: система ткань пациент эффективность основа звук метод характеристика материал научный орган сигнал разработка испытание костный
topic2: материал первый вода век высокий металл свойство углерод температура железо тяжёлый камень различный графен образ
topic3: день рост первый должный апрель динамика большой москва последний уровень тестирование число период март май
topic4: пациент уровень инфекция заболевание группа антитело ребёнок кровь риск случай вирус анализ мышь развитие терапия
topic5: бактерия клетка молекула вид организм вирус вещество растение химический разный большой способный антибиотик среда условие
topic6: клетка опухоль препарат рак лечение активность раковый нормальный иммунный пациент терапия клеточный соединение ткань иммунотерапия
topic7: вид большой разный первый животное мозг группа жизнь случай место ранний статья больший древний анализ
topic8: антитело вирус коронавирус вариант s-белок высокий молекула белок вакцина штамм мышь вирусный клетка активность мишень
topic9: процесс метод система материал земля температура поверхность частица энергия модель структура свойство высокий технология объект
topic10: клетка мышь ген белок уровень мозг нейрон экспрессия эксперимент развитие активность механизм ткань роль клеточный
topic11: научный наука проект технология страна система россия разработка задача программа развитие уровень создание современный область
topic12: ген днк геном белок мутация клетка анализ образец экспрессия вирус метод генетический пациент вариант последовательность
